topic,author_id
Twerking,22
The Chainsmokers,22
National Football League,22
Dakota Meyer,22
M249 light machine gun,22
13 Hours,22
Bodyweight exercise,22
Nissan GT-R,22
"Donald Trump presidential campaign, 2016",22
Pepper spray,22
Kenny Chesney,22
Air Force 1,22
Hacker,22
Cockpit,22
Airsoft gun,22
Thunderstruck,22
Interpersonal relationship,22
Counter-Strike,22
Ice Hockey,22
Philippine Marine Corps,22
Krav Maga,22
United States Army Air Assault School,22
The Sound of Silence,22
Adolf Hitler,21
China,21
Change of command,21
Kitten,21
Prison,21
125th Special Tactics Squadron,21
Honda,21
Dodge,21
Jeremih,21
Dodge Challenger,21
Britain's Got Talent,21
SpongeBob SquarePants,21
Angel,21
Santa Claus,21
Overwatch,21
Black Sea Rotational Force,21
Assassins,21
Bill Maher,21
USS Dwight D. Eisenhower,21
Gangnam Style,21
Fort Leonard Wood,21
Primetime: What Would You Do?,21
Combatives,21
24th Marine Expeditionary Unit,21
Sex,21
Uptown Funk,21
Air Force One,21
Selena Gomez,21
Shooting range,21
Stephen Colbert,21
Late Show with Stephen Colbert,21
Military base,21
World of Tanks,21
Pitbull,21
Sergeant Major of the Army,21
Republic of Korea Marine Corps,21
Blake Shelton,21
Coldplay,21
Let It Go,21
Thanksgiving,21
Avenged Sevenfold,21
Marine Corps Combat Utility Uniform,21
Halloween,21
Anonymous,21
68W,21
Animal,21
Jason Aldean,21
Bell AH-1 Cobra,21
Breakup,21
Marine Expeditionary Force,21
Drummer,21
Boot camp,21
Humvee,21
Angry Grandpa,20
USS George H.W. Bush,20
Joe Rogan,20
Cartoon,20
Air gunner,20
Amphibious assault ship,20
Barber,20
Honda Civic,20
Fireworks,20
George W. Bush,20
DJ Snake,20
Pumpkin,20
American Forces Network,20
Led Zeppelin,20
Post-9/11 Veterans Educational Assistance Act of 2008,20
Atheism,20
Survivalism,20
Audi,20
Kesha,20
Rich Homie Quan,20
Clown,20
Ice Cube,20
Landing Craft Air Cushion,20
Airman's Creed,20
Michael Jackson,20
Music video,20
World of Warships,20
Surfing,20
United States Cavalry,20
Pregnancy,20
Star Wars: The Old Republic,20
Maritime Special Purpose Force,20
The Rolling Stones,20
Color guard,20
Anchors Aweigh,20
Special Mission Unit,20
Fifth Harmony,20
The Battle for Marjah,20
Yellow ribbon,20
Taps,20
11th Marine Expeditionary Unit,20
PAVE,20
Woman,20
Chevrolet Camaro,20
USS Bonhomme Richard (LHD-6),20
Vitaly Zdorovetskiy,20
Small Arms,20
Toyota,20
Transgender,20
Shooting of Michael Brown,20
Social experiment,20
Crash Course,20
United States Army Sniper School,20
Illuminati,19
Mosul,19
Dashcam,19
Gulf War,19
South China Sea,19
Golf,19
Major Lazer,19
USS Nimitz (CVN-68),19
M1 Garand,19
Madden NFL,19
2nd Marine Division,19
Calvin Harris,19
Hillsong United,19
Piracy in Somalia,19
Pentatonix,19
Pizza,19
Littoral combat ship,19
Vice News,19
Heckler & Koch,19
Field Artillery Branch,19
Radioactive,19
Boyfriend,19
Earth,19
Rifleman,19
Moon,19
McDonald's,19
United States Navy Band,19
United States Navy Reserve,19
Barrett M82,19
Choreography,19
Mortal Kombat X,19
Wisdom tooth,19
How to be a Man,19
Stealth aircraft,19
Conor McGregor,19
Military Police Corps,19
Wife,19
United States Air Force Honor Guard,19
She Wore a Yellow Ribbon,19
United States presidential inauguration,19
Album,19
Elmendorf Air Force Base,19
Metal Gear Solid V: The Phantom Pain,19
Osan Air Base,19
Radio-controlled car,19
